ticker,name,compositeFIGI,marketSector,securityType,securityDescription,exchangeCode,shareClassFIGI,sector,industryGroup,industry
0111145D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0202445Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0203524D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0226226D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0376152D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0440296D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0544749D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0574018D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0598884D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0772031D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0820143D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0848680D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0867887D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0872237D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0910150D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0943554D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0948669D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0961514D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
0964591D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1005945D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1013207D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1028411Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1040983D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1051665D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1073675D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1086832D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1166Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1199Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1237Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1255173D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1255177D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1255459D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
126784Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1270Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1280712D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1281683D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1284849D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1288453D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1288652D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1291Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1293405D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1297Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1312089D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1317355D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1327Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
134618Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1356Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1377Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
140402Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1423Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1431816D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1436513D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1448062D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1455Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1456Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1463Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1500785D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1511Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1513Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1518855D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1519128D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1520415D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1524867D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1528159D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1530Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1539547D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1539941D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1541931D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1558530D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1566019D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1567Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1581Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1618Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
162007Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1621582D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1624Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1627457D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1649858D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1654539D,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1671Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1680Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1719Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1802Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
183291Q,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
